M1, ADC,
0,6337,
1,6340,
2,6348,
3,6346,
4,6339,
5,6343,
6,6340,
7,6353,
8,6344,
9,6345,
10,6341,
11,6337,
12,6340,
13,6343,
14,6344,
15,6346,
16,6339,
17,6338,
18,6340,
19,6345,
20,6341,
21,6336,
22,6342,
23,6341,
24,6350,
25,6343,
26,6338,
27,6338,
28,6342,
29,6342,
30,6345,
31,6340,
32,6333,
33,6341,
34,6348,
35,6347,
36,6339,
37,6338,
38,6335,
39,6342,
40,6350,
41,6342,
42,6338,
43,6342,
44,6336,
45,6343,
46,6343,
47,6342,
48,6334,
49,6343,
50,6342,
51,6342,
52,6343,
53,6337,
54,6336,
55,6341,
56,6346,
57,6344,
58,6341,
59,6336,
60,6339,
61,6344,
62,6345,
63,6343,
64,6340,
65,6341,
66,6344,
67,6348,
68,6343,
69,6339,
70,6339,
71,6343,
72,6346,
73,6343,
74,6340,
75,6337,
76,6341,
77,6345,
78,6344,
79,6341,
80,6338,
81,6341,
82,6344,
83,6349,
84,6341,
85,6338,
86,6339,
87,6342,
88,6345,
89,6341,
90,6339,
91,6338,
92,6344,
93,6349,
94,6342,
95,6342,
96,6336,
97,6345,
98,6342,
99,6351,
100,6341,
101,6343,
102,6340,
103,6344,
104,6344,
105,6341,
106,6339,
107,6345,
108,6342,
109,6344,
110,6348,
111,6336,
112,6336,
113,6340,
114,6342,
115,6344,
116,6343,
117,6339,
118,6344,
119,6340,
120,6344,
121,6342,
122,6340,
123,6339,
124,6342,
125,6344,
126,6346,
127,6337,
128,6335,
129,6340,
130,6347,
131,6344,
132,6343,
133,6335,
134,6336,
135,6340,
136,6343,
137,6340,
138,6333,
139,6339,
140,6338,
141,6344,
142,6341,
143,6344,
144,6338,
145,6344,
146,6348,
147,6348,
148,6339,
149,6335,
150,6341,
151,6346,
152,6345,
153,6342,
154,6339,
155,6335,
156,6338,
157,6346,
158,6341,
159,6339,
160,6336,
161,6340,
162,6342,
163,6347,
164,6349,
165,6338,
166,6339,
167,6346,
168,6351,
169,6343,
170,6341,
171,6341,
172,6346,
173,6348,
174,6344,
175,6337,
176,6338,
177,6341,
178,6347,
179,6343,
180,6338,
181,6334,
182,6341,
183,6342,
184,6347,
185,6343,
186,6338,
187,6337,
188,6339,
189,6342,
