M2, ADC,
0,48321,
1,48193,
2,48189,
3,48184,
4,48197,
5,48181,
6,48184,
7,48207,
8,48182,
9,48240,
10,48252,
11,48158,
12,48167,
13,48157,
14,48173,
15,48166,
16,48143,
17,48190,
18,48279,
19,48201,
20,48334,
21,48243,
22,48232,
23,48156,
24,48146,
25,48175,
26,48149,
27,48215,
28,48174,
29,48184,
30,48296,
31,48190,
32,48219,
33,48177,
34,48285,
35,48305,
36,48258,
37,48194,
38,48177,
39,48262,
40,48183,
41,48270,
42,48159,
43,48154,
44,48223,
45,48221,
46,48139,
47,48173,
48,48183,
49,48190,
50,48226,
51,48147,
52,48196,
53,48368,
54,48181,
55,48151,
56,48187,
57,48156,
58,48145,
59,48178,
60,48163,
61,48298,
62,48271,
63,48221,
64,48214,
65,48156,
66,48235,
67,48126,
68,48206,
69,48165,
70,48224,
71,48206,
72,48153,
73,48189,
74,48152,
75,48167,
76,48153,
77,48184,
78,48240,
79,48259,
80,48188,
81,48221,
82,48220,
83,48146,
84,48150,
85,48220,
86,48158,
87,48162,
88,48138,
89,48220,
90,48192,
91,48195,
92,48138,
93,48176,
94,48153,
95,48152,
96,48171,
97,48150,
98,48255,
99,48174,
100,48178,
101,48221,
102,48167,
103,48163,
104,48148,
105,48272,
106,48166,
107,48184,
108,48154,
109,48185,
110,48230,
111,48173,
112,48183,
113,48184,
114,48132,
115,48136,
116,48221,
117,48181,
118,48193,
119,48185,
120,48154,
121,48163,
122,48329,
123,48237,
124,48258,
125,48143,
126,48155,
127,48167,
128,48216,
129,48260,
130,48140,
131,48228,
132,48141,
133,48219,
134,48124,
135,48175,
136,48138,
137,48163,
138,48161,
139,48186,
140,48298,
141,48172,
142,48220,
143,48156,
144,48204,
145,48239,
146,48158,
147,48209,
148,48262,
149,48189,
150,48153,
151,48203,
152,48148,
153,48178,
154,48162,
155,48235,
156,48212,
157,48176,
158,48141,
159,48129,
160,48156,
161,48212,
162,48137,
163,48139,
164,48207,
165,48154,
166,48265,
167,48250,
168,48206,
169,48236,
170,48185,
171,48164,
172,48229,
173,48137,
174,48165,
175,48144,
176,48137,
177,48160,
178,48188,
179,48156,
180,48191,
181,48181,
182,48198,
183,48166,
184,48199,
185,48149,
186,48179,
