M5, ADC
0, 48226
1, 48244
2, 48271
3, 48229
4, 48293
5, 48143
6, 48152
7, 48252
8, 48211
9, 48338
10, 48194
11, 48240
12, 48206
13, 48191
14, 48169
15, 48195
16, 48218
17, 48264
18, 48169
19, 48148
20, 48309
21, 48279
22, 48204
23, 48192
24, 48208
25, 48163
26, 48162
27, 48218
28, 48201
29, 48255
30, 48203
31, 48175
32, 48164
33, 48194
34, 48265
35, 48242
36, 48274
37, 48171
38, 48241
39, 48269
40, 48155
41, 48169
42, 48206
43, 48166
44, 48186
45, 48210
46, 48168
47, 48207
48, 48204
49, 48173
50, 48217
51, 48245
52, 48258
53, 48143
54, 48141
55, 48225
56, 48136
57, 48249
58, 48143
59, 48152
60, 48190
61, 48296
62, 48207
63, 48206
64, 48178
65, 48218
66, 48270
67, 48158
68, 48197
69, 48185
70, 48231
71, 48166
72, 48205
73, 48241
74, 48191
75, 48179
76, 48158
77, 48162
78, 48217
79, 48136
80, 48192
81, 48181
82, 48164
83, 48180
84, 48186
85, 48212
86, 48202
87, 48213
88, 48318
89, 48127
90, 48191
91, 48193
92, 48174
93, 48165
94, 48157
95, 48187
96, 48260
97, 48205
98, 48214
99, 48204
100, 48145
101, 48169
102, 48177
103, 48143
104, 48199
105, 48177
106, 48206
107, 48146
108, 48257
109, 48222
110, 48170
111, 48229
112, 48137
113, 48146
114, 48275
115, 48160
116, 48189
117, 48172
118, 48150
119, 48181
120, 48169
121, 48144
122, 48248
123, 48185
124, 48243
125, 48195
126, 48208
127, 48257
128, 48170
129, 48266
130, 48126
131, 48230
132, 48156
133, 48194
134, 48195
135, 48175
136, 48203
137, 48183
138, 48156
139, 48173
140, 48212
141, 48153
142, 48125
143, 48215
144, 48212
145, 48208
146, 48161
147, 48204
148, 48245
149, 48173
150, 48211
151, 48144
152, 48202
153, 48250
154, 48171
155, 48224
156, 48184
157, 48147
158, 48197
159, 48239
160, 48247
161, 48216
162, 48204
163, 48151
164, 48180
165, 48192
166, 48215
167, 48123
168, 48159
169, 48220
170, 48247
171, 48157
172, 48167
173, 48282
174, 48196
175, 48145
176, 48170
177, 48218
178, 48152
179, 48147
180, 48178
181, 48179
182, 48235
183, 48183
184, 48268
185, 48272
186, 48154
187, 48197
188, 48152
189, 48150
190, 48239
191, 48147
192, 48254
193, 48158
194, 48194
195, 48173
196, 48158
197, 48156
198, 48146
199, 48215
200, 48163
201, 48238
202, 48170
203, 48229
204, 48293
205, 48205
206, 48183
207, 48216
208, 48132
209, 48171
210, 48158
211, 48139
212, 48233
213, 48159
214, 48147
215, 48252
216, 48165
217, 48223
218, 48248
219, 48345
220, 48186
221, 48149
222, 48176
223, 48201
224, 48232
225, 48141
226, 48137
227, 48230
228, 48202
229, 48200
230, 48158
231, 48174
232, 48152
233, 48131
234, 48160
235, 48179
236, 48174
237, 48164
238, 48189
239, 48145
240, 48191
241, 48199
242, 48150
243, 48123
244, 48225
245, 48161
246, 48229
247, 48242
248, 48227
249, 48154
250, 48230
251, 48116
252, 48159
253, 48200
254, 48127
255, 48144
256, 48228
257, 48184
258, 48193
259, 48157
260, 48170
261, 48117
262, 48166
263, 48138
264, 48206
265, 48150
266, 48163
267, 48115
268, 48147
269, 48132
270, 48210
271, 48265
272, 48142
273, 48200
274, 48174
275, 48164
276, 48195
277, 48174
278, 48149
279, 48196
280, 48154
281, 48155
282, 48174
283, 48156
284, 48172
285, 48137
286, 48216
287, 48170
288, 48157
289, 48146
290, 48167
291, 48134
292, 48151
293, 48161
294, 48120
295, 48165
296, 48199
297, 48158
298, 48144
299, 48179
300, 48178
301, 48202
302, 48132
303, 48219
304, 48140
305, 48228
306, 48122
307, 48172
308, 48194
309, 48133
310, 48117
311, 48156
312, 48168
313, 48138
314, 48159
315, 48231
316, 48192
317, 48171
318, 48151
319, 48276
320, 48131
321, 48156
322, 48139
323, 48184
324, 48199
325, 48165
326, 48149
327, 48168
328, 48197
329, 48149
330, 48218
331, 48183
332, 48168
333, 48144
334, 48212
335, 48164
336, 48270
337, 48165
338, 48139
339, 48154
340, 48229
341, 48144
342, 48158
343, 48232
344, 48168
345, 48198
346, 48175
347, 48143
348, 48160
349, 48256
350, 48201
351, 48162
352, 48171
353, 48194
354, 48185
355, 48153
356, 48174
357, 48139
358, 48199
359, 48201
360, 48117
361, 48182
362, 48138
363, 48122
364, 48170
365, 48144
366, 48246
367, 48166
368, 48198
369, 48223
370, 48177
371, 48173
372, 48179
373, 48115
374, 48164
375, 48206
376, 48168
377, 48125
378, 48169
379, 48158
380, 48196
381, 48196
382, 48259
383, 48152
384, 48225
385, 48200
386, 48175
387, 48216
388, 48115
389, 48223
390, 48176
391, 48186
392, 48175
393, 48148
394, 48140
395, 48227
396, 48173
397, 48158
398, 48205
399, 48160
400, 48160
401, 48223
402, 48282
403, 48166
404, 48169
405, 48215
406, 48223
407, 48247
408, 48172
409, 48117
410, 48183
411, 48228
412, 48144
413, 48152
414, 48247
415, 48178
416, 48164
417, 48221
418, 48160
419, 48223
420, 48157
421, 48138
422, 48182
423, 48213
424, 48165
425, 48149
426, 48134
427, 48153
428, 48159
429, 48171
430, 48184
431, 48251
432, 48141
433, 48186
434, 48150
435, 48254
436, 48167
437, 48155
438, 48162
439, 48159
440, 48187
441, 48209
442, 48190
443, 48236
444, 48155
445, 48259
446, 48153
447, 48218
448, 48182
449, 48212
450, 48135
451, 48139
